id,name,url,rating,types
ChIJFQzeR6cZ2jERgM6--iWeY-U,National Gallery Singapore,https://maps.google.com/?cid=16529228943337639552&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"museum, point_of_interest, establishment"
ChIJLVQTqQUZ2jERNSyXbiCto4E,Sands Expo & Convention Centre,https://maps.google.com/?cid=9341500406902500405&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"convention_center, event_venue, point_of_interest, establishment"
ChIJ8yvdOK8Z2jERx1TP2rKMPtY,Suntec Singapore Convention & Exhibition Centre,https://maps.google.com/?cid=15437931272475727047&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"convention_center, event_venue, point_of_interest, establishment"
ChIJj1FKMw4Z2jERUDz1GxgD08o,MBFC Tower 3,https://maps.google.com/?cid=14615028617830546512&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment"
ChIJnWdQKQQZ2jERScXuKeFHyIE,ArtScience Museum,https://maps.google.com/?cid=9351803658631562569&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"museum, tourist_attraction, point_of_interest, establishment"
ChIJ1_0j5XUZ2jERL25RtOKBXo8,Raffles Place MRT Station (NS26/EW14),https://maps.google.com/?cid=10330837405922324015&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"point_of_interest, establishment"
ChIJGykJTU4Z2jERZZXRzNiRXLs,Bayfront MRT Station (CE1/DT16),https://maps.google.com/?cid=13500826143285155173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment"
ChIJzVHFNqkZ2jERboLN2YrltH8,Singapore Flyer,https://maps.google.com/?cid=9202232323147137646&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"ferris_wheel, tourist_attraction, point_of_interest, establishment"
ChIJTzCCaz0Z2jERx_S17pyhem8,Marina Bay Sands Casino,https://maps.google.com/?cid=8032910580760573127&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"casino, point_of_interest, establishment"
ChIJsRqiaQ4Z2jERf5aRETOqllI,One Raffles Quay,https://maps.google.com/?cid=5951131093931497087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"point_of_interest, establishment"
ChIJ50uIMa0Z2jER0cTt5fLaZt0,Marina Barrage,https://maps.google.com/?cid=15953679466781066449&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"picnic_ground, tourist_attraction, point_of_interest, establishment"
ChIJSeUa7KcZ2jERNVg2CvmlVbk,"Esplanade - Theatres on the Bay, Singapore",https://maps.google.com/?cid=13354762759073847349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"performing_arts_theater, tourist_attraction, event_venue, point_of_interest, establishment"
ChIJsQvJ8KgZ2jER9PL5Qty0i9Y,Pan Pacific Singapore,https://maps.google.com/?cid=15459649003988841204&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"hotel, lodging, point_of_interest, establishment"
ChIJzbQUz0QY2jERJBlRqnfquUY,Dunman High School,https://maps.google.com/?cid=5096362253025876260&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,,"secondary_school, school, point_of_interest, establishment"
